MAST_ISSR_NUM	DFLT_DATETIME	COHORT_REENTRY_DATETIME
869	2010-04-29 00:00:00	2010-05-05 00:00:00
870	1998-10-07 00:00:00	2002-10-02 00:00:00
872	2000-12-27 00:00:00	2002-06-18 00:00:00
880	1914-11-28 00:00:00	1931-01-26 00:00:00
888	1993-12-21 00:00:00	1995-07-05 00:00:00
893	1920-07-05 00:00:00	1922-07-05 00:00:00
911	2001-01-30 00:00:00	2006-01-29 00:00:00
922	1985-10-01 00:00:00	1985-10-07 00:00:00
922	1986-06-21 00:00:00	1987-01-06 00:00:00
930	2017-10-29 00:00:00	2017-12-04 00:00:00
930	2019-07-09 00:00:00	2019-07-16 00:00:00
935	1985-04-20 00:00:00	1991-01-02 00:00:00
947	1933-01-10 00:00:00	3000-01-08 00:00:00
950	1992-02-04 00:00:00	1994-01-01 00:00:00
950	2001-06-02 00:00:00	2002-12-21 00:00:00
950	2008-10-01 00:00:00	2008-10-07 00:00:00
959	1935-08-18 00:00:00	2999-12-16 00:00:00
968	2003-01-01 00:00:00	2003-01-07 00:00:00
977	2017-11-08 00:00:00	2017-11-14 00:00:00
986	1920-07-10 00:00:00	1924-07-10 00:00:00
986	1928-01-11 00:00:00	3000-01-09 00:00:00
987	2009-05-18 00:00:00	2010-05-02 00:00:00
987	2011-11-21 00:00:00	2011-11-27 00:00:00
988	1990-03-30 00:00:00	1993-07-15 00:00:00
991	1932-07-23 00:00:00	3000-01-14 00:00:00
992	1921-08-22 00:00:00	2999-12-21 00:00:00
999	1935-01-26 00:00:00	2999-12-24 00:00:00
1036	1922-12-24 00:00:00	2999-12-22 00:00:00
1037	2001-06-15 00:00:00	2002-12-18 00:00:00
1038	2003-02-12 00:00:00	2003-02-18 00:00:00
1044	1932-01-20 00:00:00	2999-12-18 00:00:00
1065	2022-02-23 00:00:00	2023-02-22 00:00:00
1101	1944-07-05 00:00:00	3000-01-03 00:00:00
1103	1932-05-27 00:00:00	2999-12-26 00:00:00
1107	2004-03-27 00:00:00	2006-01-15 00:00:00
1122	2001-07-14 00:00:00	2003-01-24 00:00:00
1138	1940-07-13 00:00:00	3000-01-11 00:00:00
1146	2002-04-04 00:00:00	2004-03-07 00:00:00
1170	1931-04-16 00:00:00	3000-01-14 00:00:00
1182	1999-05-07 00:00:00	2000-02-21 00:00:00
1182	2001-05-07 00:00:00	2002-05-06 00:00:00
1187	2001-09-13 00:00:00	2002-09-12 00:00:00
1187	2008-03-28 00:00:00	2008-10-01 00:00:00
1206	2019-01-05 00:00:00	2020-05-02 00:00:00
1208	1931-04-12 00:00:00	3000-01-10 00:00:00
1221	1920-06-24 00:00:00	1922-06-24 00:00:00
1222	1934-10-22 00:00:00	2999-12-20 00:00:00
1240	2004-01-06 00:00:00	2005-10-10 00:00:00
1251	1938-06-04 00:00:00	1945-08-06 00:00:00
1261	2008-10-19 00:00:00	2009-11-12 00:00:00
